STT,Mã học sinh,Họ và Tên,Lớp,Ngày sinh,HK,ĐĐGtx1,ĐĐGtx2,ĐĐGtx3,ĐĐGtx4,ĐĐGgk,ĐĐGck,"ĐTB 
mhk",Năm học,Môn,Học lực
15,2502151088,Phạm Văn Kiệt,6A1,19/07/2010,1,8,10,9,10,9.4,8.6,9.1,2022,Hóa,Giỏi
16,2502151088,Phạm Văn Kiệt,6A1,19/07/2010,1,10,9,9,10,9.4,9.4,9.4,2022,Anh,Giỏi
17,2502151090,Nguyễn Văn Hoàng,6A1,22/01/2010,1,7,9,8,9,7.7,7.1,7.7,2022,Toán,Khá
18,2502151090,Nguyễn Văn Hoàng,6A1,22/01/2010,1,8,8,9,7,8.4,8.4,8.2,2022,Lý,Giỏi
19,2502151090,Nguyễn Văn Hoàng,6A1,22/01/2010,1,8,8,9,7,7.3,8.2,7.9,2022,Hóa,Khá
20,2502151090,Nguyễn Văn Hoàng,6A1,22/01/2010,1,9,9,9,8,8.0,8.1,8.4,2022,Anh,Giỏi
21,2502151092,Đặng Thanh Chi,6A1,06/02/2010,1,8,9,8,9,7.8,8.5,8.3,2022,Toán,Giỏi
22,2502151092,Đặng Thanh Chi,6A1,06/02/2010,1,10,10,10,10,9.5,9.8,9.8,2022,Lý,Giỏi
23,2502151092,Đặng Thanh Chi,6A1,06/02/2010,1,8,10,9,8,9.1,9.0,8.9,2022,Hóa,Giỏi
24,2502151092,Đặng Thanh Chi,6A1,06/02/2010,1,9,10,10,8,8.3,9.3,9.1,2022,Anh,Giỏi
25,2502151094,Hồ Tấn Nam,6A1,20/11/2010,1,9,8,10,9,9.1,9.7,9.3,2022,Toán,Giỏi
26,2502151094,Hồ Tấn Nam,6A1,20/11/2010,1,8,8,8,8,8.4,9.7,8.7,2022,Lý,Giỏi
27,2502151094,Hồ Tấn Nam,6A1,20/11/2010,1,8,9,8,9,8.8,9.3,8.8,2022,Hóa,Giỏi
28,2502151094,Hồ Tấn Nam,6A1,20/11/2010,1,8,9,10,10,8.0,9.3,9.0,2022,Anh,Giỏi
29,2502151096,Dương Ngọc Trang,6A1,12/11/2010,1,7,8,9,7,7.4,7.8,7.7,2022,Toán,Khá
30,2502151096,Dương Ngọc Trang,6A1,12/11/2010,1,7,9,8,7,8.0,7.6,7.8,2022,Lý,Khá
31,2502151096,Dương Ngọc Trang,6A1,12/11/2010,1,9,7,9,9,6.9,8.3,8.1,2022,Hóa,Giỏi
32,2502151096,Dương Ngọc Trang,6A1,12/11/2010,1,9,8,9,7,8.3,8.0,8.2,2022,Anh,Giỏi
33,2502151098,Phan Ngọc Chi,6A1,14/06/2010,1,5,7,5,7,7.4,7.2,6.7,2022,Toán,Khá
34,2502151098,Phan Ngọc Chi,6A1,14/06/2010,1,5,6,8,7,5.1,7.0,6.4,2022,Lý,Trung bình
35,2502151098,Phan Ngọc Chi,6A1,14/06/2010,1,6,8,7,6,6.1,5.7,6.3,2022,Hóa,Trung bình
36,2502151098,Phan Ngọc Chi,6A1,14/06/2010,1,8,8,7,8,6.6,7.3,7.3,2022,Anh,Khá
37,2502151100,Lê Ngọc Khánh,6A1,13/08/2010,1,7,7,9,8,8.1,7.2,7.6,2022,Toán,Khá
38,2502151100,Lê Ngọc Khánh,6A1,13/08/2010,1,6,6,7,7,7.5,6.9,6.9,2022,Lý,Khá
39,2502151100,Lê Ngọc Khánh,6A1,13/08/2010,1,8,7,8,8,7.6,7.5,7.6,2022,Hóa,Khá
40,2502151100,Lê Ngọc Khánh,6A1,13/08/2010,1,7,7,5,5,7.1,5.4,6.0,2022,Anh,Trung bình
41,2502151102,Nguyễn Minh Dũng,6A1,31/10/2010,1,6,5,5,8,6.5,7.3,6.5,2022,Toán,Khá
42,2502151102,Nguyễn Minh Dũng,6A1,31/10/2010,1,8,5,5,5,7.1,6.9,6.4,2022,Lý,Trung bình
43,2502151102,Nguyễn Minh Dũng,6A1,31/10/2010,1,6,5,5,6,7.0,5.8,5.9,2022,Hóa,Trung bình
44,2502151102,Nguyễn Minh Dũng,6A1,31/10/2010,1,5,5,5,8,6.3,6.5,6.1,2022,Anh,Trung bình
45,2502151104,Đỗ Hữu Lâm,6A1,03/05/2010,1,4,2,4,6,2.7,4.2,3.8,2022,Toán,Yếu
46,2502151104,Đỗ Hữu Lâm,6A1,03/05/2010,1,5,8,8,6,7.2,6.3,6.7,2022,Lý,Khá
47,2502151104,Đỗ Hữu Lâm,6A1,03/05/2010,1,6,5,5,3,2.6,3.1,3.7,2022,Hóa,Yếu
48,2502151104,Đỗ Hữu Lâm,6A1,03/05/2010,1,4,4,2,5,3.6,3.8,3.7,2022,Anh,Yếu
49,2502151106,Đỗ Quỳnh Ngọc,6A1,03/01/2010,1,8,6,5,8,7.2,6.8,6.9,2022,Toán,Khá
50,2502151106,Đỗ Quỳnh Ngọc,6A1,03/01/2010,1,8,6,6,7,5.0,7.0,6.4,2022,Lý,Trung bình
51,2502151106,Đỗ Quỳnh Ngọc,6A1,03/01/2010,1,8,8,8,5,7.5,6.4,7.0,2022,Hóa,Khá
52,2502151106,Đỗ Quỳnh Ngọc,6A1,03/01/2010,1,5,7,5,8,7.3,6.7,6.6,2022,Anh,Khá
53,2502151108,Võ Quỳnh Hương,6A1,10/04/2010,1,8,7,7,7,6.9,7.5,7.3,2022,Toán,Khá
54,2502151108,Võ Quỳnh Hương,6A1,10/04/2010,1,8,9,9,10,9.9,8.8,9.1,2022,Lý,Giỏi
55,2502151108,Võ Quỳnh Hương,6A1,10/04/2010,1,9,8,9,10,9.9,9.2,9.3,2022,Hóa,Giỏi
56,2502151108,Võ Quỳnh Hương,6A1,10/04/2010,1,8,8,10,8,8.2,8.7,8.5,2022,Anh,Giỏi
57,2502151110,Lý Văn Hùng,6A1,26/05/2010,1,8,7,7,8,7.0,8.0,7.6,2022,Toán,Khá
58,2502151110,Lý Văn Hùng,6A1,26/05/2010,1,9,8,7,8,7.5,8.1,7.9,2022,Lý,Khá
59,2502151110,Lý Văn Hùng,6A1,26/05/2010,1,8,8,7,7,6.9,7.1,7.2,2022,Hóa,Khá
60,2502151110,Lý Văn Hùng,6A1,26/05/2010,1,9,9,8,8,7.0,7.1,7.7,2022,Anh,Khá
61,2502151112,Nguyễn Hải Huy,6A1,15/01/2010,1,7,9,8,7,6.8,7.8,7.6,2022,Toán,Khá
62,2502151112,Nguyễn Hải Huy,6A1,15/01/2010,1,5,5,8,7,5.7,5.1,5.7,2022,Lý,Trung bình
63,2502151112,Nguyễn Hải Huy,6A1,15/01/2010,1,8,6,7,5,6.0,6.3,6.3,2022,Hóa,Trung bình
64,2502151112,Nguyễn Hải Huy,6A1,15/01/2010,1,6,8,8,6,7.3,5.2,6.5,2022,Anh,Khá
65,2502151114,Đỗ Quốc Minh,6A1,16/06/2010,1,7,9,7,8,8.3,8.2,8.0,2022,Toán,Giỏi
66,2502151114,Đỗ Quốc Minh,6A1,16/06/2010,1,7,7,9,7,7.0,8.9,7.9,2022,Lý,Khá
67,2502151114,Đỗ Quốc Minh,6A1,16/06/2010,1,8,7,9,9,7.2,8.7,8.2,2022,Hóa,Giỏi
68,2502151114,Đỗ Quốc Minh,6A1,16/06/2010,1,9,9,9,8,7.0,7.9,8.1,2022,Anh,Giỏi
69,2502151116,Bùi Quang Hùng,6A1,16/03/2010,1,7,9,7,7,8.2,7.4,7.6,2022,Toán,Khá
70,2502151116,Bùi Quang Hùng,6A1,16/03/2010,1,9,8,8,7,7.2,8.1,7.9,2022,Lý,Khá
71,2502151116,Bùi Quang Hùng,6A1,16/03/2010,1,8,9,7,8,8.1,8.2,8.1,2022,Hóa,Giỏi
72,2502151116,Bùi Quang Hùng,6A1,16/03/2010,1,9,9,8,8,7.9,9.0,8.5,2022,Anh,Giỏi
73,2502151118,Phan Hữu Khang,6A1,17/01/2010,1,8,8,9,7,7.3,8.9,8.1,2022,Toán,Giỏi
74,2502151118,Phan Hữu Khang,6A1,17/01/2010,1,3,5,6,3,4.7,2.0,3.6,2022,Lý,Yếu
75,2502151118,Phan Hữu Khang,6A1,17/01/2010,1,5,8,6,5,6.6,5.4,5.9,2022,Hóa,Trung bình
76,2502151118,Phan Hữu Khang,6A1,17/01/2010,1,6,7,7,6,5.2,6.0,6.0,2022,Anh,Trung bình
77,2502151120,Lý Hữu Khoa,6A1,23/11/2010,1,4,2,4,6,5.0,4.8,4.5,2022,Toán,Yếu
78,2502151120,Lý Hữu Khoa,6A1,23/11/2010,1,4,5,6,3,4.3,3.6,4.2,2022,Lý,Yếu
79,2502151120,Lý Hữu Khoa,6A1,23/11/2010,1,3,2,6,3,3.3,3.2,3.4,2022,Hóa,Kém
80,2502151120,Lý Hữu Khoa,6A1,23/11/2010,1,5,6,2,6,4.0,4.3,4.4,2022,Anh,Yếu
81,2502151122,Đặng Quang Khang,6A1,25/08/2010,1,4,3,5,6,4.0,2.9,3.9,2022,Toán,Yếu
82,2502151122,Đặng Quang Khang,6A1,25/08/2010,1,6,2,3,3,4.7,2.1,3.3,2022,Lý,Kém
83,2502151122,Đặng Quang Khang,6A1,25/08/2010,1,4,2,6,3,4.2,3.6,3.8,2022,Hóa,Yếu
84,2502151122,Đặng Quang Khang,6A1,25/08/2010,1,6,4,6,4,4.1,2.9,4.1,2022,Anh,Yếu
85,2502151124,Lý Kim Quỳnh,6A1,03/01/2009,1,7,5,5,7,5.9,6.6,6.2,2022,Toán,Trung bình
86,2502151124,Lý Kim Quỳnh,6A1,03/01/2009,1,9,8,7,9,7.8,7.2,7.8,2022,Lý,Khá
87,2502151124,Lý Kim Quỳnh,6A1,03/01/2009,1,7,7,9,8,7.4,8.0,7.8,2022,Hóa,Khá
88,2502151124,Lý Kim Quỳnh,6A1,03/01/2009,1,9,9,7,7,8.4,7.9,8.1,2022,Anh,Giỏi
89,2502151126,Ngô Hoàng Tuấn,6A1,04/05/2010,1,9,8,10,8,9.4,9.5,9.1,2022,Toán,Giỏi
90,2502151126,Ngô Hoàng Tuấn,6A1,04/05/2010,1,9,9,10,10,9.0,9.3,9.3,2022,Lý,Giỏi
91,2502151126,Ngô Hoàng Tuấn,6A1,04/05/2010,1,10,10,9,10,9.0,9.8,9.6,2022,Hóa,Giỏi
92,2502151126,Ngô Hoàng Tuấn,6A1,04/05/2010,1,8,9,10,10,8.4,10.0,9.3,2022,Anh,Giỏi
93,2502151128,Phạm Tấn Dũng,6A1,09/12/2010,1,7,9,9,8,7.9,7.0,7.8,2022,Toán,Khá
94,2502151128,Phạm Tấn Dũng,6A1,09/12/2010,1,9,7,9,9,8.1,7.7,8.1,2022,Lý,Giỏi
95,2502151128,Phạm Tấn Dũng,6A1,09/12/2010,1,9,8,7,9,8.3,7.7,8.1,2022,Hóa,Giỏi
96,2502151128,Phạm Tấn Dũng,6A1,09/12/2010,1,8,8,7,8,6.4,5.1,6.6,2022,Anh,Khá
97,2502151130,Lê Phúc Trung,6A1,09/07/2010,1,5,6,7,6,6.9,5.9,6.2,2022,Toán,Trung bình
98,2502151130,Lê Phúc Trung,6A1,09/07/2010,1,8,8,8,7,8.4,7.8,7.9,2022,Lý,Khá
99,2502151130,Lê Phúc Trung,6A1,09/07/2010,1,8,6,6,7,7.1,6.5,6.7,2022,Hóa,Khá
100,2502151130,Lê Phúc Trung,6A1,09/07/2010,1,6,6,6,7,7.0,7.1,6.7,2022,Anh,Khá
101,2502151132,Hoàng Mai Mai,6A1,10/11/2010,1,6,6,5,7,6.0,5.7,5.9,2022,Toán,Trung bình
102,2502151132,Hoàng Mai Mai,6A1,10/11/2010,1,7,6,7,8,5.4,7.4,6.8,2022,Lý,Khá
103,2502151132,Hoàng Mai Mai,6A1,10/11/2010,1,5,3,6,3,3.5,3.8,3.9,2022,Hóa,Yếu
104,2502151132,Hoàng Mai Mai,6A1,10/11/2010,1,6,7,7,5,5.6,7.5,6.5,2022,Anh,Khá
105,2502151134,Lý Tấn Khánh,6A1,26/02/2010,1,9,7,9,9,7.3,7.7,8.0,2022,Toán,Giỏi
106,2502151134,Lý Tấn Khánh,6A1,26/02/2010,1,8,7,8,7,5.0,5.8,6.4,2022,Lý,Trung bình
107,2502151134,Lý Tấn Khánh,6A1,26/02/2010,1,8,9,8,8,6.9,7.4,7.7,2022,Hóa,Khá
108,2502151134,Lý Tấn Khánh,6A1,26/02/2010,1,9,9,7,9,8.3,8.6,8.5,2022,Anh,Giỏi
109,2502151136,Hồ Hoàng Khang,6A1,21/06/2010,1,5,5,8,8,5.4,5.5,5.9,2022,Toán,Trung bình
110,2502151136,Hồ Hoàng Khang,6A1,21/06/2010,1,9,8,9,7,7.0,7.1,7.6,2022,Lý,Khá
111,2502151136,Hồ Hoàng Khang,6A1,21/06/2010,1,8,7,8,8,6.7,7.6,7.5,2022,Hóa,Khá
112,2502151136,Hồ Hoàng Khang,6A1,21/06/2010,1,7,8,8,7,6.7,8.5,7.7,2022,Anh,Khá
113,2502151138,Ngô Minh Lan,6A1,17/05/2010,1,7,6,8,8,6.8,7.4,7.2,2022,Toán,Khá
114,2502151138,Ngô Minh Lan,6A1,17/05/2010,1,2,3,5,5,4.6,2.1,3.4,2022,Lý,Kém
115,2502151138,Ngô Minh Lan,6A1,17/05/2010,1,7,6,5,7,7.4,7.0,6.8,2022,Hóa,Khá
116,2502151138,Ngô Minh Lan,6A1,17/05/2010,1,5,7,6,8,6.0,6.3,6.3,2022,Anh,Trung bình
117,2502151140,Trần Cát Trâm,6A1,30/09/2010,1,5,8,5,6,6.9,5.0,5.9,2022,Toán,Trung bình
118,2502151140,Trần Cát Trâm,6A1,30/09/2010,1,7,6,6,7,6.0,7.2,6.6,2022,Lý,Khá
119,2502151140,Trần Cát Trâm,6A1,30/09/2010,1,7,8,8,5,7.4,7.2,7.2,2022,Hóa,Khá
120,2502151140,Trần Cát Trâm,6A1,30/09/2010,1,8,8,8,7,5.7,5.4,6.5,2022,Anh,Khá
121,2502151142,Lý Ngọc Hương,6A2,23/08/2010,1,9,10,9,10,8.7,9.6,9.4,2022,Toán,Giỏi
122,2502151142,Lý Ngọc Hương,6A2,23/08/2010,1,10,9,10,10,8.7,9.4,9.4,2022,Lý,Giỏi
123,2502151142,Lý Ngọc Hương,6A2,23/08/2010,1,9,9,10,10,8.6,9.3,9.2,2022,Hóa,Giỏi
124,2502151142,Lý Ngọc Hương,6A2,23/08/2010,1,8,9,7,7,8.1,7.9,7.9,2022,Anh,Khá
125,2502151144,Trần Ngọc Nam,6A2,15/04/2010,1,7,5,6,5,7.2,5.1,5.9,2022,Toán,Trung bình
126,2502151144,Trần Ngọc Nam,6A2,15/04/2010,1,7,7,6,6,5.2,5.6,5.9,2022,Lý,Trung bình
127,2502151144,Trần Ngọc Nam,6A2,15/04/2010,1,5,7,7,5,5.5,5.8,5.8,2022,Hóa,Trung bình
128,2502151144,Trần Ngọc Nam,6A2,15/04/2010,1,8,5,6,8,6.4,5.5,6.3,2022,Anh,Trung bình
129,2502151146,Phan Thanh Bách,6A2,11/01/2010,1,8,9,9,9,9.7,9.3,9.1,2022,Toán,Giỏi
130,2502151146,Phan Thanh Bách,6A2,11/01/2010,1,8,8,9,9,8.5,8.0,8.3,2022,Lý,Giỏi
131,2502151146,Phan Thanh Bách,6A2,11/01/2010,1,8,9,7,8,7.4,8.3,8.0,2022,Hóa,Giỏi
132,2502151146,Phan Thanh Bách,6A2,11/01/2010,1,8,9,8,9,7.3,8.5,8.2,2022,Anh,Giỏi
133,2502151148,Đỗ Trúc Trúc,6A2,07/12/2010,1,6,7,6,7,5.7,7.4,6.6,2022,Toán,Khá
134,2502151148,Đỗ Trúc Trúc,6A2,07/12/2010,1,5,6,6,5,6.8,5.5,5.8,2022,Lý,Trung bình
135,2502151148,Đỗ Trúc Trúc,6A2,07/12/2010,1,5,6,6,6,7.2,6.6,6.4,2022,Hóa,Trung bình
136,2502151148,Đỗ Trúc Trúc,6A2,07/12/2010,1,4,6,2,2,3.4,2.0,3.0,2022,Anh,Kém
137,2502151150,Hoàng Duy Phúc,6A2,28/05/2010,1,2,6,3,5,3.2,2.5,3.3,2022,Toán,Kém
138,2502151150,Hoàng Duy Phúc,6A2,28/05/2010,1,8,7,5,6,6.9,6.0,6.4,2022,Lý,Trung bình
139,2502151150,Hoàng Duy Phúc,6A2,28/05/2010,1,5,8,6,6,7.2,6.2,6.4,2022,Hóa,Trung bình
140,2502151150,Hoàng Duy Phúc,6A2,28/05/2010,1,7,7,7,7,6.2,5.9,6.5,2022,Anh,Khá
141,2502151152,Đặng Hữu Huy,6A2,29/12/2011,1,5,7,6,5,6.3,6.9,6.3,2022,Toán,Trung bình
142,2502151152,Đặng Hữu Huy,6A2,29/12/2011,1,8,8,6,5,6.0,6.4,6.5,2022,Lý,Khá
143,2502151152,Đặng Hữu Huy,6A2,29/12/2011,1,6,8,5,8,5.4,6.1,6.2,2022,Hóa,Trung bình
144,2502151152,Đặng Hữu Huy,6A2,29/12/2011,1,3,3,5,3,4.8,4.0,4.0,2022,Anh,Yếu
145,2502151154,Võ Hồng Hà,6A2,15/10/2010,1,6,5,7,6,5.4,6.4,6.0,2022,Toán,Trung bình
146,2502151154,Võ Hồng Hà,6A2,15/10/2010,1,6,8,6,5,6.8,7.0,6.6,2022,Lý,Khá
147,2502151154,Võ Hồng Hà,6A2,15/10/2010,1,6,2,4,3,3.9,2.4,3.3,2022,Hóa,Kém
148,2502151154,Võ Hồng Hà,6A2,15/10/2010,1,6,7,7,6,7.0,7.1,6.8,2022,Anh,Khá
149,2502151156,Hoàng Đức Anh,6A2,13/09/2010,1,6,7,7,7,6.0,6.2,6.4,2022,Toán,Trung bình
150,2502151156,Hoàng Đức Anh,6A2,13/09/2010,1,8,8,6,6,7.0,5.7,6.6,2022,Lý,Khá
151,2502151156,Hoàng Đức Anh,6A2,13/09/2010,1,5,7,7,7,6.4,7.4,6.8,2022,Hóa,Khá
152,2502151156,Hoàng Đức Anh,6A2,13/09/2010,1,8,5,6,8,6.5,7.1,6.8,2022,Anh,Khá
153,2502151158,Đặng Khánh Ngọc,6A2,29/05/2010,1,6,5,2,3,3.9,3.3,3.7,2022,Toán,Yếu
154,2502151158,Đặng Khánh Ngọc,6A2,29/05/2010,1,3,2,4,3,4.2,3.8,3.5,2022,Lý,Yếu
155,2502151158,Đặng Khánh Ngọc,6A2,29/05/2010,1,6,5,2,3,3.7,4.7,4.2,2022,Hóa,Yếu
156,2502151158,Đặng Khánh Ngọc,6A2,29/05/2010,1,4,3,6,6,4.9,3.6,4.4,2022,Anh,Yếu
157,2502151160,Lý Cát Trúc,6A2,03/09/2010,1,6,6,5,5,5.3,5.9,5.6,2022,Toán,Trung bình
158,2502151160,Lý Cát Trúc,6A2,03/09/2010,1,2,6,3,3,2.6,2.1,2.8,2022,Lý,Kém
159,2502151160,Lý Cát Trúc,6A2,03/09/2010,1,6,5,6,5,3.8,3.5,4.5,2022,Hóa,Yếu
160,2502151160,Lý Cát Trúc,6A2,03/09/2010,1,6,5,4,3,4.2,4.2,4.3,2022,Anh,Yếu
161,2502151162,Võ Khánh Linh,6A2,08/11/2010,1,7,7,6,6,6.6,6.0,6.4,2022,Toán,Trung bình
162,2502151162,Võ Khánh Linh,6A2,08/11/2010,1,5,5,6,5,5.7,5.8,5.5,2022,Lý,Trung bình
163,2502151162,Võ Khánh Linh,6A2,08/11/2010,1,8,5,7,5,6.2,5.9,6.1,2022,Hóa,Trung bình
164,2502151162,Võ Khánh Linh,6A2,08/11/2010,1,6,6,5,5,6.9,6.6,6.2,2022,Anh,Trung bình
165,2502151164,Đặng Phúc Bách,6A2,14/02/2010,1,3,6,4,2,2.7,2.6,3.1,2022,Toán,Kém
166,2502151164,Đặng Phúc Bách,6A2,14/02/2010,1,4,6,3,2,4.0,2.6,3.4,2022,Lý,Kém
167,2502151164,Đặng Phúc Bách,6A2,14/02/2010,1,2,6,5,5,2.7,4.1,4.0,2022,Hóa,Yếu
168,2502151164,Đặng Phúc Bách,6A2,14/02/2010,1,5,2,6,2,2.9,2.1,3.0,2022,Anh,Kém
169,2502151166,Đỗ Quốc Trung,6A2,07/08/2010,1,7,9,7,7,6.9,7.2,7.3,2022,Toán,Khá
170,2502151166,Đỗ Quốc Trung,6A2,07/08/2010,1,9,9,8,8,7.4,8.3,8.2,2022,Lý,Giỏi
171,2502151166,Đỗ Quốc Trung,6A2,07/08/2010,1,7,7,9,9,7.8,7.2,7.7,2022,Hóa,Khá
172,2502151166,Đỗ Quốc Trung,6A2,07/08/2010,1,8,8,7,7,8.3,7.1,7.5,2022,Anh,Khá
173,2502151168,Trần Kiều Châu,6A2,01/08/2010,1,5,8,6,7,6.7,7.3,6.8,2022,Toán,Khá
174,2502151168,Trần Kiều Châu,6A2,01/08/2010,1,8,6,6,6,5.1,6.4,6.2,2022,Lý,Trung bình
175,2502151168,Trần Kiều Châu,6A2,01/08/2010,1,8,8,7,6,6.3,6.7,6.9,2022,Hóa,Khá
176,2502151168,Trần Kiều Châu,6A2,01/08/2010,1,8,7,5,6,6.9,5.7,6.3,2022,Anh,Trung bình
177,2502151170,Lê Kim Hoa,6A2,17/04/2010,1,7,7,8,7,8.1,8.4,7.8,2022,Toán,Khá
178,2502151170,Lê Kim Hoa,6A2,17/04/2010,1,9,9,7,8,8.2,8.2,8.2,2022,Lý,Giỏi
179,2502151170,Lê Kim Hoa,6A2,17/04/2010,1,8,7,7,9,7.1,7.3,7.5,2022,Hóa,Khá
180,2502151170,Lê Kim Hoa,6A2,17/04/2010,1,9,7,9,8,8.5,7.7,8.1,2022,Anh,Giỏi
181,2502151172,Vũ Ngọc Anh,6A2,20/05/2010,1,8,7,9,9,7.8,8.6,8.3,2022,Toán,Giỏi
182,2502151172,Vũ Ngọc Anh,6A2,20/05/2010,1,7,9,9,9,7.7,7.3,7.9,2022,Lý,Khá
183,2502151172,Vũ Ngọc Anh,6A2,20/05/2010,1,9,9,8,7,8.1,7.5,8.0,2022,Hóa,Giỏi
184,2502151172,Vũ Ngọc Anh,6A2,20/05/2010,1,9,8,8,9,8.4,9.9,8.9,2022,Anh,Giỏi
185,2502151174,Hoàng Như Tú,6A2,04/06/2010,1,7,7,8,7,6.9,5.3,6.5,2022,Toán,Khá
186,2502151174,Hoàng Như Tú,6A2,04/06/2010,1,5,7,5,6,5.1,7.5,6.2,2022,Lý,Trung bình
187,2502151174,Hoàng Như Tú,6A2,04/06/2010,1,5,8,5,7,6.5,6.2,6.3,2022,Hóa,Trung bình
188,2502151174,Hoàng Như Tú,6A2,04/06/2010,1,9,8,8,7,6.8,8.2,7.8,2022,Anh,Khá
189,2502151176,Hoàng Tấn Phúc,6A2,07/12/2010,1,8,5,8,8,7.2,5.1,6.5,2022,Toán,Khá
190,2502151176,Hoàng Tấn Phúc,6A2,07/12/2010,1,6,6,6,7,6.3,7.4,6.6,2022,Lý,Khá
191,2502151176,Hoàng Tấn Phúc,6A2,07/12/2010,1,5,7,7,7,7.4,5.4,6.3,2022,Hóa,Trung bình
192,2502151176,Hoàng Tấn Phúc,6A2,07/12/2010,1,5,6,7,5,5.6,5.3,5.6,2022,Anh,Trung bình
193,2502151178,Hoàng Quang Dũng,6A2,05/07/2010,1,7,8,8,8,5.9,7.2,7.2,2022,Toán,Khá
194,2502151178,Hoàng Quang Dũng,6A2,05/07/2010,1,7,5,7,8,6.5,6.9,6.7,2022,Lý,Khá
195,2502151178,Hoàng Quang Dũng,6A2,05/07/2010,1,7,7,7,8,7.1,7.4,7.3,2022,Hóa,Khá
196,2502151178,Hoàng Quang Dũng,6A2,05/07/2010,1,7,8,5,6,7.1,5.6,6.3,2022,Anh,Trung bình
197,2502151180,Trần Khánh Nhi,6A2,09/01/2010,1,8,5,5,5,6.4,6.9,6.3,2022,Toán,Trung bình
198,2502151180,Trần Khánh Nhi,6A2,09/01/2010,1,6,2,2,3,2.6,4.7,3.6,2022,Lý,Yếu
199,2502151180,Trần Khánh Nhi,6A2,09/01/2010,1,8,6,5,8,6.0,6.9,6.6,2022,Hóa,Khá
200,2502151180,Trần Khánh Nhi,6A2,09/01/2010,1,5,8,6,8,6.3,6.4,6.5,2022,Anh,Khá
201,2502151182,Nguyễn Hữu Khánh,6A2,02/07/2010,1,10,8,10,10,8.7,8.7,9.1,2022,Toán,Giỏi
202,2502151182,Nguyễn Hữu Khánh,6A2,02/07/2010,1,10,8,10,8,9.9,9.6,9.4,2022,Lý,Giỏi
203,2502151182,Nguyễn Hữu Khánh,6A2,02/07/2010,1,8,7,7,9,6.6,7.9,7.5,2022,Hóa,Khá
204,2502151182,Nguyễn Hữu Khánh,6A2,02/07/2010,1,8,8,9,10,8.5,8.6,8.6,2022,Anh,Giỏi
205,2502151184,Ngô Ngọc Hoa,6A2,06/10/2010,1,8,9,9,10,9.9,9.2,9.3,2022,Toán,Giỏi
206,2502151184,Ngô Ngọc Hoa,6A2,06/10/2010,1,8,9,8,8,9.4,8.5,8.6,2022,Lý,Giỏi
207,2502151184,Ngô Ngọc Hoa,6A2,06/10/2010,1,10,9,8,9,9.1,9.3,9.1,2022,Hóa,Giỏi
208,2502151184,Ngô Ngọc Hoa,6A2,06/10/2010,1,9,9,9,10,8.9,8.9,9.1,2022,Anh,Giỏi
209,2502151186,Phan Ngọc Trâm,6A2,15/03/2010,1,8,8,8,10,8.0,8.8,8.5,2022,Toán,Giỏi
210,2502151186,Phan Ngọc Trâm,6A2,15/03/2010,1,10,8,10,9,8.3,9.7,9.2,2022,Lý,Giỏi
211,2502151186,Phan Ngọc Trâm,6A2,15/03/2010,1,9,9,9,9,8.9,8.7,8.9,2022,Hóa,Giỏi
212,2502151186,Phan Ngọc Trâm,6A2,15/03/2010,1,9,10,8,10,8.5,8.7,8.9,2022,Anh,Giỏi
